,links,titles,texts,timestamp
0,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3Lmtsa250di5jb20vdG94aWMtYmx1ZS1ncmVlbi1hbGdhZS1mb3VuZC1pbi10d28tbmVicmFza2EtbGFrZXMv0gEA?oc=5,Toxic blue-green algae found in two Nebraska lakes - KLKN,"<a href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3Lmtsa250di5jb20vdG94aWMtYmx1ZS1ncmVlbi1hbGdhZS1mb3VuZC1pbi10d28tbmVicmFza2EtbGFrZXMv0gEA?oc=5"" target=""_blank"">Toxic blue-green algae found in two Nebraska lakes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KLKN</font>",13 Jun 2024 20:07:18
1,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vcml2ZXJjb3VudHJ5Lm5ld3NjaGFubmVsbmVicmFza2EuY29tL3N0b3J5LzUwOTAyOTQ5L2hlYWx0aC1hbGVydC1mb3ItdHdvLWxha2VzLWR1ZS10by10b3hpYy1hbGdhZdIBAA?oc=5,Health alert for two lakes due to toxic algae - newschannelnebraska.com,"<a href=""https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vcml2ZXJjb3VudHJ5Lm5ld3NjaGFubmVsbmVicmFza2EuY29tL3N0b3J5LzUwOTAyOTQ5L2hlYWx0aC1hbGVydC1mb3ItdHdvLWxha2VzLWR1ZS10by10b3hpYy1hbGdhZdIBAA?oc=5"" target=""_blank"">Health alert for two lakes due to toxic algae</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newschannelnebraska.com</font>",13 Jun 2024 21:27:00
2,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3Lmtzbi5jb20vbmV3cy9zdGF0ZS1yZWdpb25hbC9zZXZlbi1rYW5zYXMtbGFrZXMtaW5jbHVkZWQtaW4ta2RoZS1ibHVlLWdyZWVuLWFsZ2FlLWFkdmlzb3J5L9IBamh0dHBzOi8vd3d3Lmtzbi5jb20vbmV3cy9zdGF0ZS1yZWdpb25hbC9zZXZlbi1rYW5zYXMtbGFrZXMtaW5jbHVkZWQtaW4ta2RoZS1ibHVlLWdyZWVuLWFsZ2FlLWFkdmlzb3J5L2FtcC8?oc=5,Seven Kansas lakes included in KDHE blue-green algae advisory - KSN-TV,"<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3Lmtzbi5jb20vbmV3cy9zdGF0ZS1yZWdpb25hbC9zZXZlbi1rYW5zYXMtbGFrZXMtaW5jbHVkZWQtaW4ta2RoZS1ibHVlLWdyZWVuLWFsZ2FlLWFkdmlzb3J5L9IBamh0dHBzOi8vd3d3Lmtzbi5jb20vbmV3cy9zdGF0ZS1yZWdpb25hbC9zZXZlbi1rYW5zYXMtbGFrZXMtaW5jbHVkZWQtaW4ta2RoZS1ibHVlLWdyZWVuLWFsZ2FlLWFkdmlzb3J5L2FtcC8?oc=5"" target=""_blank"">Seven Kansas lakes included in KDHE blue-green algae advisory</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KSN-TV</font>",14 Jun 2024 18:58:00
3,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm5ld3M0amF4LmNvbS9uZXdzL2xvY2FsLzIwMjQvMDYvMTMvd2FybmluZy1kb2N0b3JzLWxha2UtaGFzLWJsdWUtZ3JlZW4tYWxnYWUtdGhhdC1jYW4tYmUtdG94aWMv0gEA?oc=5,Warning: Doctors Lake has blue-green algae that can be toxic - WJXT News4JAX,"<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm5ld3M0amF4LmNvbS9uZXdzL2xvY2FsLzIwMjQvMDYvMTMvd2FybmluZy1kb2N0b3JzLWxha2UtaGFzLWJsdWUtZ3JlZW4tYWxnYWUtdGhhdC1jYW4tYmUtdG94aWMv0gEA?oc=5"" target=""_blank"">Warning: Doctors Lake has blue-green algae that can be toxic</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WJXT News4JAX </font>",13 Jun 2024 19:06:10
4,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LndkYmo3LmNvbS8yMDI0LzA2LzEzL2RvY2std2F0Y2gtcHJvZ3JhbS1jb21iYXRzLWhhcm1mdWwtYWxnYWwtYmxvb21zLXNtaXRoLW1vdW50YWluLWxha2Uv0gF0aHR0cHM6Ly93d3cud2RiajcuY29tLzIwMjQvMDYvMTMvZG9jay13YXRjaC1wcm9ncmFtLWNvbWJhdHMtaGFybWZ1bC1hbGdhbC1ibG9vbXMtc21pdGgtbW91bnRhaW4tbGFrZS8_b3V0cHV0VHlwZT1hbXA?oc=5,Dock watch program combats harmful algal blooms in Smith Mountain Lake - WDBJ,"<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LndkYmo3LmNvbS8yMDI0LzA2LzEzL2RvY2std2F0Y2gtcHJvZ3JhbS1jb21iYXRzLWhhcm1mdWwtYWxnYWwtYmxvb21zLXNtaXRoLW1vdW50YWluLWxha2Uv0gF0aHR0cHM6Ly93d3cud2RiajcuY29tLzIwMjQvMDYvMTMvZG9jay13YXRjaC1wcm9ncmFtLWNvbWJhdHMtaGFybWZ1bC1hbGdhbC1ibG9vbXMtc21pdGgtbW91bnRhaW4tbGFrZS8_b3V0cHV0VHlwZT1hbXA?oc=5"" target=""_blank"">Dock watch program combats harmful algal blooms in Smith Mountain Lake</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WDBJ</font>",13 Jun 2024 21:05:00
5,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmFvbC5jb20vc2V3YWdlLWFsZ2FlLWJsb29tcy1mbGVzaC1lYXRpbmctMDcwMDQ4Njc2Lmh0bWzSAQA?oc=5,"Sewage, algae blooms, flesh-eating bacteria: Is this water safe to swim in? How to know - AOL","<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmFvbC5jb20vc2V3YWdlLWFsZ2FlLWJsb29tcy1mbGVzaC1lYXRpbmctMDcwMDQ4Njc2Lmh0bWzSAQA?oc=5"" target=""_blank"">Sewage, algae blooms, flesh-eating bacteria: Is this water safe to swim in? How to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AOL</font>",12 Jun 2024 07:41:22
6,https://news.google.com/rss/articles/CBMiyQFodHRwczovL3d3dy53dG9sLmNvbS9hcnRpY2xlL25ld3MvbG9jYWwvcHJvdGVjdGluZy1vdXItd2F0ZXIvaGFybWZ1bC1hbGFnYWwtYmxvb20tdXBkYXRlLWxha2UtZXJpZS1taWQtanVuZS0yMDI0LWxvY2FsLW5ld3MtY2xpbWF0ZS1wcm90ZWN0aW5nLW91ci13YXRlci1zY2llbmNlLzUxMi0xZWU3ZDk0OC1iZGFkLTQ2MmEtYTg2ZS05OWQ3OTZmNjk5YjXSAQA?oc=5,Heat wave impacts on harmful algal bloom - WTOL,"<a href=""https://news.google.com/rss/articles/CBMiyQFodHRwczovL3d3dy53dG9sLmNvbS9hcnRpY2xlL25ld3MvbG9jYWwvcHJvdGVjdGluZy1vdXItd2F0ZXIvaGFybWZ1bC1hbGFnYWwtYmxvb20tdXBkYXRlLWxha2UtZXJpZS1taWQtanVuZS0yMDI0LWxvY2FsLW5ld3MtY2xpbWF0ZS1wcm90ZWN0aW5nLW91ci13YXRlci1zY2llbmNlLzUxMi0xZWU3ZDk0OC1iZGFkLTQ2MmEtYTg2ZS05OWQ3OTZmNjk5YjXSAQA?oc=5"" target=""_blank"">Heat wave impacts on harmful algal bloom</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WTOL</font>",14 Jun 2024 13:08:00
7,https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5vcGIub3JnL2FydGljbGUvMjAyNC8wNi8xMS9tb3Nlcy1sYWtlLXdhc2hpbmd0b24tYWxnYWUtYmxvb20tdG94aWMtZ3JhbnQtY291bnR5LXBob3NwaG9ydXMtZXV0cm9waGl4LWJsdWUtZ3JlZW4tbWljcm9jeXN0aW4v0gGXAWh0dHBzOi8vd3d3Lm9wYi5vcmcvYXJ0aWNsZS8yMDI0LzA2LzExL21vc2VzLWxha2Utd2FzaGluZ3Rvbi1hbGdhZS1ibG9vbS10b3hpYy1ncmFudC1jb3VudHktcGhvc3Bob3J1cy1ldXRyb3BoaXgtYmx1ZS1ncmVlbi1taWNyb2N5c3Rpbi8_b3V0cHV0VHlwZT1hbXA?oc=5,Material could help prevent algal blooms in Moses Lake - Oregon Public Broadcasting,"<a href=""https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5vcGIub3JnL2FydGljbGUvMjAyNC8wNi8xMS9tb3Nlcy1sYWtlLXdhc2hpbmd0b24tYWxnYWUtYmxvb20tdG94aWMtZ3JhbnQtY291bnR5LXBob3NwaG9ydXMtZXV0cm9waGl4LWJsdWUtZ3JlZW4tbWljcm9jeXN0aW4v0gGXAWh0dHBzOi8vd3d3Lm9wYi5vcmcvYXJ0aWNsZS8yMDI0LzA2LzExL21vc2VzLWxha2Utd2FzaGluZ3Rvbi1hbGdhZS1ibG9vbS10b3hpYy1ncmFudC1jb3VudHktcGhvc3Bob3J1cy1ldXRyb3BoaXgtYmx1ZS1ncmVlbi1taWNyb2N5c3Rpbi8_b3V0cHV0VHlwZT1hbXA?oc=5"" target=""_blank"">Material could help prevent algal blooms in Moses Lake</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oregon Public Broadcasting</font>",11 Jun 2024 13:01:04
8,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbm9ydGhlYXN0Lm5ld3NjaGFubmVsbmVicmFza2EuY29tL3N0b3J5LzUwOTAyOTQ5L2hlYWx0aC1hbGVydC1mb3ItdHdvLWxha2VzLWR1ZS10by10b3hpYy1hbGdhZdIBAA?oc=5,Health alert for two lakes due to toxic algae - News Channel Nebraska,"<a href=""https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbm9ydGhlYXN0Lm5ld3NjaGFubmVsbmVicmFza2EuY29tL3N0b3J5LzUwOTAyOTQ5L2hlYWx0aC1hbGVydC1mb3ItdHdvLWxha2VzLWR1ZS10by10b3hpYy1hbGdhZdIBAA?oc=5"" target=""_blank"">Health alert for two lakes due to toxic algae</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News Channel Nebraska</font>",13 Jun 2024 21:27:00
9,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LndpYncuY29tLzIwMjQvMDYvMTQva2RoZS1hbm5vdW5jZXMtYmx1ZS1ncmVlbi1hbGdhZS1kZXRlY3RlZC1zZXZlbi1rYW5zYXMtbGFrZXMv0gFraHR0cHM6Ly93d3cud2lidy5jb20vMjAyNC8wNi8xNC9rZGhlLWFubm91bmNlcy1ibHVlLWdyZWVuLWFsZ2FlLWRldGVjdGVkLXNldmVuLWthbnNhcy1sYWtlcy8_b3V0cHV0VHlwZT1hbXA?oc=5,KDHE announces blue-green algae detected at seven Kansas lakes - WIBW,"<a href=""https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LndpYncuY29tLzIwMjQvMDYvMTQva2RoZS1hbm5vdW5jZXMtYmx1ZS1ncmVlbi1hbGdhZS1kZXRlY3RlZC1zZXZlbi1rYW5zYXMtbGFrZXMv0gFraHR0cHM6Ly93d3cud2lidy5jb20vMjAyNC8wNi8xNC9rZGhlLWFubm91bmNlcy1ibHVlLWdyZWVuLWFsZ2FlLWRldGVjdGVkLXNldmVuLWthbnNhcy1sYWtlcy8_b3V0cHV0VHlwZT1hbXA?oc=5"" target=""_blank"">KDHE announces blue-green algae detected at seven Kansas lakes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WIBW</font>",14 Jun 2024 19:12:00
10,https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5hY3Rpb25uZXdzamF4LmNvbS9uZXdzL2xvY2FsL2RlcGFydG1lbnQtaGVhbHRoLWNhdXRpb25zLWJvYXRlcnMtc3dpbW1lcnMtYmx1ZS1ncmVlbi1hbGdhZS1kb2N0b3JzLWxha2UvVlhKVlVaSFQ0UkFZRk9UQzZORE1ENzJRVzQv0gGdAWh0dHBzOi8vd3d3LmFjdGlvbm5ld3NqYXguY29tL25ld3MvbG9jYWwvZGVwYXJ0bWVudC1oZWFsdGgtY2F1dGlvbnMtYm9hdGVycy1zd2ltbWVycy1ibHVlLWdyZWVuLWFsZ2FlLWRvY3RvcnMtbGFrZS9WWEpWVVpIVDRSQVlGT1RDNk5ETUQ3MlFXNC8_b3V0cHV0VHlwZT1hbXA?oc=5,Department of Health cautions boaters and swimmers of blue-green algae in Doctors Lake - ActionNewsJax.com,"<a href=""https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5hY3Rpb25uZXdzamF4LmNvbS9uZXdzL2xvY2FsL2RlcGFydG1lbnQtaGVhbHRoLWNhdXRpb25zLWJvYXRlcnMtc3dpbW1lcnMtYmx1ZS1ncmVlbi1hbGdhZS1kb2N0b3JzLWxha2UvVlhKVlVaSFQ0UkFZRk9UQzZORE1ENzJRVzQv0gGdAWh0dHBzOi8vd3d3LmFjdGlvbm5ld3NqYXguY29tL25ld3MvbG9jYWwvZGVwYXJ0bWVudC1oZWFsdGgtY2F1dGlvbnMtYm9hdGVycy1zd2ltbWVycy1ibHVlLWdyZWVuLWFsZ2FlLWRvY3RvcnMtbGFrZS9WWEpWVVpIVDRSQVlGT1RDNk5ETUQ3MlFXNC8_b3V0cHV0VHlwZT1hbXA?oc=5"" target=""_blank"">Department of Health cautions boaters and swimmers of blue-green algae in Doctors Lake</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ActionNewsJax.com</font>",14 Jun 2024 14:58:38
11,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm1zbi5jb20vZW4tdXMvbmV3cy91cy9zZXZlbi1rYW5zYXMtbGFrZXMtaW5jbHVkZWQtaW4ta2RoZS1ibHVlLWdyZWVuLWFsZ2FlLWFkdmlzb3J5L2FyLUJCMW9makdO0gEA?oc=5,Seven Kansas lakes included in KDHE blue-green algae advisory - MSN,"<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3Lm1zbi5jb20vZW4tdXMvbmV3cy91cy9zZXZlbi1rYW5zYXMtbGFrZXMtaW5jbHVkZWQtaW4ta2RoZS1ibHVlLWdyZWVuLWFsZ2FlLWFkdmlzb3J5L2FyLUJCMW9makdO0gEA?oc=5"" target=""_blank"">Seven Kansas lakes included in KDHE blue-green algae advisory</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",14 Jun 2024 20:03:42
12,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lndscm4ub3JnL2Vudmlyb25tZW50LzIwMjQtMDYtMTIvZXBhLWlzLWFza2VkLXRvLXNldC1ibHVlLWdyZWVuLWFsZ2FlLXRveGluLXN0YW5kYXJkcy1mb3ItZmxvcmlkYdIBAA?oc=5,EPA is asked to set blue-green algae toxin standards for Florida - WLRN,"<a href=""https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lndscm4ub3JnL2Vudmlyb25tZW50LzIwMjQtMDYtMTIvZXBhLWlzLWFza2VkLXRvLXNldC1ibHVlLWdyZWVuLWFsZ2FlLXRveGluLXN0YW5kYXJkcy1mb3ItZmxvcmlkYdIBAA?oc=5"" target=""_blank"">EPA is asked to set blue-green algae toxin standards for Florida</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WLRN</font>",12 Jun 2024 15:00:00
13,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmZveDEzbmV3cy5jb20vbmV3cy9zb21lLWZsb3JpZGEtY29uc2VydmF0aW9uLWdyb3Vwcy1jYWxsaW5nLWJldHRlci1zdGFuZGFyZHMtZGV0ZWN0LWhhcm1mdWwtYWxnYWUtYmxvb21z0gF4aHR0cHM6Ly93d3cuZm94MTNuZXdzLmNvbS9uZXdzL3NvbWUtZmxvcmlkYS1jb25zZXJ2YXRpb24tZ3JvdXBzLWNhbGxpbmctYmV0dGVyLXN0YW5kYXJkcy1kZXRlY3QtaGFybWZ1bC1hbGdhZS1ibG9vbXMuYW1w?oc=5,Some Florida conservation groups calling for better standards to detect harmful algae blooms - FOX 13 Tampa,"<a href=""https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmZveDEzbmV3cy5jb20vbmV3cy9zb21lLWZsb3JpZGEtY29uc2VydmF0aW9uLWdyb3Vwcy1jYWxsaW5nLWJldHRlci1zdGFuZGFyZHMtZGV0ZWN0LWhhcm1mdWwtYWxnYWUtYmxvb21z0gF4aHR0cHM6Ly93d3cuZm94MTNuZXdzLmNvbS9uZXdzL3NvbWUtZmxvcmlkYS1jb25zZXJ2YXRpb24tZ3JvdXBzLWNhbGxpbmctYmV0dGVyLXN0YW5kYXJkcy1kZXRlY3QtaGFybWZ1bC1hbGdhZS1ibG9vbXMuYW1w?oc=5"" target=""_blank"">Some Florida conservation groups calling for better standards to detect harmful algae blooms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FOX 13 Tampa</font>",13 Jun 2024 10:09:29
